,SEQ,PERIOD,AUC,ACC,PRECISION_0,PRECISION_1,zeros,ones,ratio
182,46,3,0.4837384586395327,0.5324324324324324,0.3772455089820359,0.5776614310645725,167,573,0.2914485165794066
183,46,4,0.4994369369369369,0.5581081081081081,0.39869281045751637,0.5996592844974447,153,587,0.2606473594548552
184,47,1,0.47336095683093826,0.4810810810810811,0.42905405405405406,0.5157657657657657,296,444,0.6666666666666666
185,47,2,0.504352278545827,0.5243243243243243,0.41901408450704225,0.5899122807017544,284,456,0.6228070175438597
186,47,3,0.4815715093273036,0.522972972972973,0.3787878787878788,0.5756457564575646,198,542,0.36531365313653136
187,47,4,0.47491001159172713,0.523680649526387,0.3541666666666667,0.583180987202925,192,547,0.3510054844606947
188,48,1,0.4770857210026742,0.48243243243243245,0.43573667711598746,0.517814726840855,319,421,0.7577197149643705
189,48,2,0.5128158790397879,0.5297297297297298,0.42905405405405406,0.5968468468468469,296,444,0.6666666666666666
190,48,3,0.4897068822240689,0.523680649526387,0.3964757709251101,0.580078125,227,512,0.443359375
191,48,4,0.47491001159172713,0.523680649526387,0.3541666666666667,0.583180987202925,192,547,0.3510054844606947
192,49,1,0.47772488171853417,0.4837837837837838,0.4358974358974359,0.5186915887850467,312,428,0.7289719626168224
193,49,2,0.5112114899847544,0.5277401894451962,0.4276094276094276,0.5950226244343891,297,442,0.6719457013574661
194,49,3,0.5002077510009821,0.5331529093369418,0.41304347826086957,0.587426326129666,230,509,0.4518664047151277
195,49,4,0.47203114514062594,0.510148849797023,0.3577586206896552,0.5798816568047337,232,507,0.45759368836291914
196,50,1,0.4904692082111437,0.4912043301759134,0.45179063360881544,0.5292553191489362,363,376,0.9654255319148937
197,50,2,0.500709444670863,0.5115020297699594,0.4148606811145511,0.5865384615384616,323,416,0.7764423076923077
198,50,3,0.49542192339654,0.5263870094722598,0.40585774058577406,0.584,239,500,0.478
